_id,ID,scores/scores/neutral,scores/scores/surprise,scores/scores/anger,scores/scores/happiness,scores/scores/fear,scores/scores/sadness,scores/scores/contempt,scores/scores/disgust,scores/faceRectangle/width,scores/faceRectangle/left,scores/faceRectangle/top,scores/faceRectangle/height,id,Who?
031501.jpg2,031501.jpg,6.49E-05,1.14E-07,5.05E-10,0.9999336,1.70E-10,7.96E-10,1.33E-06,3.96E-08,111,443,96,111,031501.jpg9,female
031751.jpg1,031751.jpg,0.6112561,0.000390824,0.191129237,0.013798732,0.000676664,0.08158768,0.09517167,0.005989076,124,101,127,124,031751.jpg2,male
031751.jpg2,031751.jpg,0.014711774,4.49E-05,3.42E-07,0.9847702,1.17E-05,0.000108749,0.000319634,3.27E-05,112,416,91,112,031751.jpg8,female
032001.jpg1,032001.jpg,0.845326662,0.000450727,8.35E-05,0.152831048,5.64E-05,0.00041708,0.000812091,2.25E-05,138,115,74,138,032001.jpg2,male
032001.jpg2,032001.jpg,0.6892148,0.020883722,0.004147344,0.198477015,0.000308611,0.001761579,0.079376385,0.00583051,113,454,99,113,032001.jpg9,female
032251.jpg1,032251.jpg,0.9635445,0.000246446,7.68E-05,0.035808213,8.50E-06,9.25E-05,0.000211464,1.16E-05,141,121,71,141,032251.jpg2,male
032251.jpg2,032251.jpg,0.208912641,0.000663687,1.03E-05,0.785375237,2.32E-05,0.000353265,0.004630502,3.11E-05,120,442,90,120,032251.jpg9,female
032501.jpg1,032501.jpg,0.5732454,0.09028497,0.00029269,0.29467538,0.002729924,0.024310324,0.009107568,0.005353757,121,262,91,121,032501.jpg5,female
032751.jpg1,032751.jpg,0.783803642,0.003985069,0.002452256,0.185879976,0.002843943,0.004014579,0.015827108,0.001193419,130,108,86,130,032751.jpg2,male
032751.jpg2,032751.jpg,0.351620346,0.620062,0.005289936,0.000279035,0.001582311,0.015253661,0.00191456,0.003998144,120,334,111,120,032751.jpg7,female
033001.jpg1,033001.jpg,0.845222652,0.000762873,0.004726763,0.010482864,0.000100014,0.129791528,0.00638167,0.002531613,127,77,130,127,033001.jpg2,male
033001.jpg2,033001.jpg,0.160058647,0.000553091,0.00017628,0.832238436,1.99E-05,0.000146548,0.005930804,0.000876253,121,405,100,121,033001.jpg8,female
033251.jpg1,033251.jpg,0.06760159,0.000704261,5.84E-06,0.9302452,4.22E-05,0.000225222,0.000960817,0.00021491,119,444,85,119,033251.jpg9,female
033501.jpg1,033501.jpg,0.990922034,0.00426719,0.002440957,0.00109494,0.000303293,0.000646004,0.000279248,4.63E-05,153,55,75,153,033501.jpg1,male
033501.jpg2,033501.jpg,0.000346381,6.29E-06,3.93E-08,0.9996259,1.84E-07,1.10E-05,6.62E-06,3.56E-06,121,420,100,121,033501.jpg8,female
033751.jpg1,033751.jpg,0.980552,0.008955673,0.000461542,0.009300747,6.26E-05,0.000208435,0.000360922,9.81E-05,150,151,67,150,033751.jpg3,male
033751.jpg2,033751.jpg,0.6140698,0.005691457,0.002273436,0.269574821,0.002445432,0.028351046,0.048485696,0.029108305,131,367,95,131,033751.jpg7,female
034001.jpg1,034001.jpg,0.9577509,0.000172169,0.000143519,0.040589146,6.22E-05,0.000381344,0.000859271,4.14E-05,152,95,90,152,034001.jpg2,male
034001.jpg2,034001.jpg,0.780932963,0.053376343,0.002924742,0.003301989,0.003456747,0.130309865,0.021625511,0.004071851,128,380,103,128,034001.jpg8,female
034251.jpg1,034251.jpg,0.9132122,0.000485415,0.000385432,0.08348904,0.000157387,0.000616228,0.001552285,0.000102028,150,104,90,150,034251.jpg2,male
034251.jpg2,034251.jpg,0.535053253,0.001793327,0.000796138,0.4505514,0.00010735,0.001436208,0.00857922,0.00168313,125,368,123,125,034251.jpg7,female
034501.jpg1,034501.jpg,0.9960448,0.000576746,0.000247339,0.002531758,5.98E-06,2.58E-05,0.000560414,7.12E-06,152,119,93,152,034501.jpg2,male
034501.jpg2,034501.jpg,0.8563273,0.006335363,0.005873032,0.006839533,0.00111403,0.101674169,0.010601756,0.011234825,129,355,117,129,034501.jpg7,female
034751.jpg1,034751.jpg,0.8298806,0.011620381,0.114389427,0.014098715,0.000313498,0.00110116,0.00870362,0.019892579,153,95,95,153,034751.jpg2,male
